# Data Format: order_id|customer_phone|restaurant_id|item_id|quantity|total_price|timestamp
1|01712345678|1|1|2|25.98|1703129600
2|01723456789|2|7|1|16.99|1703129700
3|01734567890|1|3|1|13.99|1703129800
4|01745678901|3|13|2|17.98|1703129900
5|01756789012|2|9|1|20.99|1703130000
6|01767890123|1|4|3|17.97|1703130100
7|01778901234|5|22|1|11.99|1703130200
8|01789012345|3|15|1|9.99|1703130300
9|01790123456|2|11|1|9.99|1703130400
10|01701234567|1|6|2|9.98|1703130500
11|01712345678|4|19|1|7.99|1703130600
12|01723456789|5|23|1|12.99|1703130700
13|01734567890|2|8|1|18.99|1703130800
14|01745678901|1|5|2|13.98|1703130900
15|01756789012|3|16|1|4.99|1703131000
16|01909770862|1|3|4|55.96|1755081362
17|01909770862|2|7|2|33.98|1755085253
18|01909770862|1|29|4|27.96|1755087406
19|01909770862|1|30|2|17.98|1755087709
20|01909770862|5|36|2|21.98|1755088076
21|01909770862|5|26|4|11.96|1755088605
22|01909770862|6|38|3|17.97|1755089121
23|01909770862|2|8|2|37.98|1755089206
24|01909770862|6|37|5|39.95|1755089634
25|01909770862|1|2|10|149.90|1755089871
26|01909770862|2|32|12|203.88|1755090194
27|01909770862|2|32|12|203.88|1755090343
28|01909770862|5|26|2|0.55|1755097015
29|01909770862|6|38|5|29.95|1755169485
30|01909770862|3|15|4|39.96|1755169553
31|01909770862|1|2|4|52.93|1755169787
32|01909770862|2|11|2|19.98|1755175072
33|01909770862|3|33|2|23.98|1755176032
34|01909770862|5|26|3|0.00|1755184018
35|01897694679|8|41|2|17.00|1755186439
36|01909770862|5|22|4|47.96|1755189715
